mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""55197301""","""Appleton/Fox Cities MPO""","""Appleton, WI,Green Bay, WI,Oshkosh-Neenah, WI""",136.38,178213.51,72561.38,124693.57,43,53,45,22,27,22,21,26,22,7.77,15.34,1.85,2,2,18693,18552,19077,1,2,2,13893,13355,14054,11050,10532,11152,2812,2791,2870,31,32,32,38,39,40,2.5,5.3,1.46,0.58,12701,69,17762,81,26,42,2301,1173,1314,726,70,30
"""55197302""","""Oshkosh MPO""","""Oshkosh-Neenah, WI""",53.16,68045.06,27849.04,38627.26,45,54,43,23,28,21,22,26,21,6.94,14.08,1.74,2,2,16785,16539,17548,2,2,2,12962,12048,13441,10397,9518,10760,2525,2489,2640,40,41,41,49,51,51,3.6,5.7,2.23,0.72,10502,63,14149,80,16,49,1682,1106,1293,667,66,34
"""55197400""","""Green Bay MPO""","""Appleton, WI,Green Bay, WI""",138.28,191806.02,78233.69,122846.07,43,53,43,21,27,21,22,26,22,7.49,13.88,1.80,2,2,18039,17809,18532,2,2,2,13538,13134,13794,10792,10421,10972,2714,2679,2788,33,34,34,40,42,42,2.8,4.7,1.59,0.64,12104,61,19622,81,28,40,2565,1103,1253,760,63,37
"""55197499""","""State Line Area Transportation Study""","""Janesville-Beloit, WI,Rockford, IL""",42.59,58711.19,22764.64,65503.50,46,56,43,22,28,20,24,28,23,7.98,13.69,1.85,2,2,19309,19000,19782,1,1,1,13989,12975,14348,11064,10094,11351,2905,2859,2976,21,22,21,26,27,26,2.7,3.0,1.22,0.35,9021,74,8072,83,25,27,2054,1056,1133,814,69,31
"""55198201""","""Chippewa-Eau Claire MPO""","""Eau Claire, WI""",62.31,89043.49,35851.36,88562.44,46,56,44,23,28,21,23,28,22,7.56,10.55,1.82,2,2,18699,18417,19252,1,1,1,13724,13305,14045,10887,10510,11125,2813,2771,2896,24,25,24,30,31,30,2.7,4.3,1.36,0.40,7560,62,12566,82,28,35,2296,1122,1229,784,64,36
"""55198202""","""Sheboygan MPO""","""Sheboygan, WI""",40.53,74716.91,31470.36,69542.33,43,52,42,21,26,20,22,27,22,7.52,14.88,1.79,2,2,18084,17874,18745,1,2,2,13440,13020,13812,10689,10300,10961,2720,2689,2820,31,32,32,38,40,39,2.5,4.4,1.65,0.45,8959,62,11925,82,21,31,2135,1038,1160,734,68,32
"""55198203""","""Janesville Area MPO""","""Janesville-Beloit, WI""",47.22,57996.53,23760.91,55651.93,48,58,45,24,29,22,24,28,23,8.04,13.31,1.87,2,2,19471,19242,19920,1,1,1,14159,13139,14513,11205,10217,11491,2929,2896,2997,25,26,25,31,33,32,2.1,3.0,1.28,0.43,9876,70,12049,83,23,35,2259,1134,1237,796,70,30
"""55198300""","""Wausau Metropolitan Planning Organization""","""Wausau-Weston, WI""",48.65,58298.58,25203.24,36710.84,40,50,40,19,23,18,21,26,22,7.22,12.02,1.77,2,2,17713,17471,18328,1,1,1,13272,12861,13594,10584,10208,10813,2665,2628,2757,24,25,25,29,31,31,3.1,4.4,1.68,0.69,7482,65,12162,82,17,57,2035,968,1111,725,64,36
"""55200200""","""Fond du Lac Area MPO""","""Fond du Lac, WI,Oshkosh-Neenah, WI""",40.40,41281.07,17325.92,23440.11,40,49,40,19,24,19,21,25,21,7.02,17.89,1.74,2,2,17134,16963,17639,1,1,1,12985,12583,13245,10380,10001,10562,2578,2552,2653,28,30,30,35,37,37,3.9,5.3,2.02,0.74,10224,61,14131,81,12,55,1759,988,1110,678,63,37
"""56198101""","""Cheyenne MPO""","""Cheyenne, WY""",39.86,47242.59,19007.65,68625.60,45,55,48,24,30,26,21,25,22,7.68,13.44,1.80,2,2,18333,18158,18727,1,1,1,13739,13358,13847,10781,10428,10826,2935,2907,2998,22,23,23,27,28,29,1.6,4.9,1.15,0.28,7822,62,10575,81,26,28,3463,1355,1424,1024,69,31
"""56198102""","""Casper Area MPO""","""Casper, WY""",40.04,63622.24,26403.04,466886.29,46,56,46,24,29,24,22,27,22,7.78,11.90,1.81,2,2,18872,18698,19397,1,1,1,13823,13419,14080,10798,10422,10971,3022,2994,3106,3,3,3,18,19,19,1.3,4.1,0.77,0.06,7410,65,8215,82,27,12,3809,1234,1365,852,70,30
