NAME,Year,Series,Permits
"Tennessee Ridge town, Tennessee",2021,Units in All Multi-Family Structures,0
"Thompsons Station town, Tennessee",2021,Total Units,166
"Thompsons Station town, Tennessee",2021,Units in Single-Family Structures,154
"Thompsons Station town, Tennessee",2021,Units in All Multi-Family Structures,12
"Watertown city, Tennessee",2021,Total Units,0
"Watertown city, Tennessee",2021,Units in Single-Family Structures,0
"Watertown city, Tennessee",2021,Units in All Multi-Family Structures,0
"Waverly city, Tennessee",2021,Total Units,9
"Waverly city, Tennessee",2021,Units in Single-Family Structures,9
"Waverly city, Tennessee",2021,Units in All Multi-Family Structures,0
"Westmoreland town, Tennessee",2021,Total Units,16
"Westmoreland town, Tennessee",2021,Units in Single-Family Structures,16
"Westmoreland town, Tennessee",2021,Units in All Multi-Family Structures,0
"White Bluff town, Tennessee",2021,Total Units,46
"White Bluff town, Tennessee",2021,Units in Single-Family Structures,46
"White Bluff town, Tennessee",2021,Units in All Multi-Family Structures,0
"White House city, Tennessee",2021,Total Units,371
"White House city, Tennessee",2021,Units in Single-Family Structures,349
"White House city, Tennessee",2021,Units in All Multi-Family Structures,22
Anderson Unincorporated,2021,Total Units,83
Anderson Unincorporated,2021,Units in Single-Family Structures,83
Anderson Unincorporated,2021,Units in All Multi-Family Structures,0
Bedford Unincorporated,2021,Total Units,173
Bedford Unincorporated,2021,Units in Single-Family Structures,173
Bedford Unincorporated,2021,Units in All Multi-Family Structures,0
Blount Unincorporated,2021,Total Units,566
Blount Unincorporated,2021,Units in Single-Family Structures,566
Blount Unincorporated,2021,Units in All Multi-Family Structures,0
Bradley Unincorporated,2021,Total Units,265
Bradley Unincorporated,2021,Units in Single-Family Structures,265
Bradley Unincorporated,2021,Units in All Multi-Family Structures,0
Campbell Unincorporated,2021,Total Units,379
Campbell Unincorporated,2021,Units in Single-Family Structures,379
Campbell Unincorporated,2021,Units in All Multi-Family Structures,0
Carter Unincorporated,2021,Total Units,179
Carter Unincorporated,2021,Units in Single-Family Structures,179
Carter Unincorporated,2021,Units in All Multi-Family Structures,0
Cheatham Unincorporated,2021,Total Units,100
Cheatham Unincorporated,2021,Units in Single-Family Structures,100
Cheatham Unincorporated,2021,Units in All Multi-Family Structures,0
Claiborne Unincorporated,2021,Total Units,62
Claiborne Unincorporated,2021,Units in Single-Family Structures,62
Claiborne Unincorporated,2021,Units in All Multi-Family Structures,0
Clay Unincorporated,2021,Total Units,27
Clay Unincorporated,2021,Units in Single-Family Structures,27
Clay Unincorporated,2021,Units in All Multi-Family Structures,0
Coffee Unincorporated,2021,Total Units,0
Coffee Unincorporated,2021,Units in Single-Family Structures,0
Coffee Unincorporated,2021,Units in All Multi-Family Structures,0
De Kalb Unincorporated,2021,Total Units,0
De Kalb Unincorporated,2021,Units in Single-Family Structures,0
De Kalb Unincorporated,2021,Units in All Multi-Family Structures,0
Dekalb Unincorporated,2021,Total Units,94
Dekalb Unincorporated,2021,Units in Single-Family Structures,94
Dekalb Unincorporated,2021,Units in All Multi-Family Structures,0
Dickson Unincorporated,2021,Total Units,290
Dickson Unincorporated,2021,Units in Single-Family Structures,290
Dickson Unincorporated,2021,Units in All Multi-Family Structures,0
Dyer Unincorporated,2021,Total Units,34
Dyer Unincorporated,2021,Units in Single-Family Structures,34
Dyer Unincorporated,2021,Units in All Multi-Family Structures,0
Fayette Unincorporated,2021,Total Units,135
Fayette Unincorporated,2021,Units in Single-Family Structures,135
Fayette Unincorporated,2021,Units in All Multi-Family Structures,0
Franklin Unincorporated,2021,Total Units,200
Franklin Unincorporated,2021,Units in Single-Family Structures,200
Franklin Unincorporated,2021,Units in All Multi-Family Structures,0
Gibson Unincorporated,2021,Total Units,53
Gibson Unincorporated,2021,Units in Single-Family Structures,53
Gibson Unincorporated,2021,Units in All Multi-Family Structures,0
Giles Unincorporated,2021,Total Units,127
Giles Unincorporated,2021,Units in Single-Family Structures,127
Giles Unincorporated,2021,Units in All Multi-Family Structures,0
Grainger Unincorporated,2021,Total Units,76
Grainger Unincorporated,2021,Units in Single-Family Structures,76
