blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""471870512021""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2424.00,688.00,3109.20,66,82,70,40,49,42,27,33,28,12.76,2.82,2.31,2,2,27099,26691,27086,1,1,1,17873,17527,17828,13795,13512,13753,4077,4015,4075,1,1,1,0,0,0,0.9,2.9,0.15,0.22,4697,89,4674,84,104,16,2308,2187,2269,,97,3
"""471870505022""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1243.00,423.00,17958.28,52,65,55,27,33,28,26,31,27,11.96,0.28,2.19,2,2,26882,26420,26875,0,0,0,17125,16687,17064,13081,12712,13020,4044,3974,4043,1,1,1,0,0,0,0.9,2.2,0.06,0.02,2681,82,2777,85,216,7,2832,1471,1631,814,83,17
"""471870501032""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2231.00,729.00,8750.29,70,87,74,44,55,46,26,32,27,11.88,0.99,2.24,2,2,26022,25669,26035,1,1,1,17341,16890,17280,13426,13028,13363,3915,3861,3917,1,1,1,0,0,0,0.5,2.9,0.18,0.08,4487,97,5076,84,182,9,3041,2421,2588,,94,6
"""471870508003""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1553.00,569.00,258.28,48,60,51,29,36,30,20,24,21,7.57,16.68,1.73,2,2,17934,17757,17950,1,1,1,13064,12722,13008,10365,10049,10306,2698,2671,2700,2,2,2,1,1,1,7.5,6.0,3.44,2.20,11344,39,26944,80,6,223,629,1578,2769,876,47,53
"""471870509043""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1935.00,762.00,548.08,58,72,61,35,44,37,22,27,23,8.06,11.20,1.99,2,2,19238,19175,19285,1,1,1,14797,14438,14747,11901,11551,11844,2894,2885,2901,2,2,2,1,1,1,3.6,6.7,2.33,1.39,11992,88,25833,79,14,109,1038,1962,1948,2036,85,15
"""471870502062""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1125.00,332.00,765.17,73,90,77,48,60,50,25,30,26,10.78,4.68,2.19,2,2,22815,22507,22815,1,1,1,16525,16155,16477,13092,12768,13043,3432,3386,3432,1,1,1,1,1,1,1.6,5.1,0.70,0.43,9434,100,16383,81,48,39,1664,2643,2742,,96,4
"""471870505032""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1950.00,551.00,6492.18,53,65,56,27,33,28,26,32,28,11.92,1.01,2.26,2,2,25607,25108,25582,0,0,0,17356,16936,17299,13504,13159,13450,3852,3777,3848,0,0,0,0,0,0,1.0,2.1,0.51,0.08,2858,95,2733,85,61,16,1947,1470,1466,1528,94,6
"""471870503051""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2904.00,956.00,3025.26,90,111,95,66,82,69,24,30,26,10.06,3.18,2.14,2,2,21984,21719,21996,1,1,1,16091,15702,16039,12783,12434,12729,3307,3267,3309,1,1,1,1,1,1,1.6,5.5,0.51,0.32,8503,97,21922,80,59,32,1810,3623,3664,2722,96,4
"""471870502081""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,5933.00,2659.00,1931.60,52,65,55,34,43,36,18,22,19,6.63,9.12,1.59,2,2,16394,16199,16407,1,1,1,11968,11628,11911,9500,9190,9441,2466,2437,2468,1,2,2,1,1,1,7.7,6.8,2.91,1.38,10698,25,42857,79,19,91,968,1892,2509,1679,36,64
"""471870504062""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2888.00,1120.00,4307.05,70,87,74,47,59,50,23,28,24,9.58,2.49,1.98,2,2,22136,21794,22133,1,1,1,15173,14783,15116,11842,11504,11786,3330,3278,3329,1,1,1,1,1,1,2.5,5.0,0.48,0.26,8367,72,14128,81,100,20,1890,2597,2852,1834,76,24
