GEO_ID,PLACE_GEO_ID,PLACE,COUNTY,COUNTY_GEO_ID
7500000US471870505031048,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031020,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021009,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032002,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032030,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022022,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032016,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031032,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032017,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031026,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042031,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033006,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021017,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033000,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505041011,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021024,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032074,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021038,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021029,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042017,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US470819502022028,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032036,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022031,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032073,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033005,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031010,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031006,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032047,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032039,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031036,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042008,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032066,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505041008,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031022,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042034,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021025,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031055,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042016,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042033,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022028,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033010,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042020,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032019,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032060,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042015,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021028,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032037,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032059,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021042,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032031,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031007,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042002,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022034,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031029,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022025,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022029,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032051,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032034,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032058,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021037,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032042,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031050,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042007,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032076,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505041010,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032011,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032024,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032045,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021044,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042018,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031023,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031034,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042032,1600000US4725440,Fairview city,Williamson County,0500000US47187
