NAME,GEO_ID,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Tennessee,0400000US47,105602,261727,422813,681904,823342,994701,1099228,1247095,1522359,1746965,1998749,2164145,2322515,2602343,2901253,3280038,3556315,3912629,4577531,4877185,5689283,6346105,6910840
"Tennessee Ridge town, Tennessee",1600000US4773460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,664,1325,1271,1334,1368,1332
"Thompson's Station town, Tennessee",1600000US4773900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,2194,7485
"Trousdale County, Tennessee",0500000US47169,0,0,0,0,0,0,0,0,6646,5850,6004,5874,5996,5629,6113,5520,4914,5155,6137,5920,7259,7870,11615
USA,0100000US,4846672,6506713,9009499,12078477,16051614,21769441,29021963,36374056,46885747,58800406,70626271,86511995,99981626,116098558,124160146,141517443,167848778,189857802,222891543,246002093,281064890,308689930,331449281
"Vanleer town, Tennessee",1600000US4776860,0,0,0,0,0,0,0,0,0,0,0,0,180,243,206,243,234,320,401,369,310,395,374
"Watertown city, Tennessee",1600000US4778320,0,0,0,0,0,0,0,0,0,0,0,517,933,928,908,933,919,1061,1300,1250,1358,1477,1553
"Waverly city, Tennessee",1600000US4778560,0,0,0,0,0,0,0,0,0,0,786,947,1054,1152,1318,1892,2891,3794,4405,3925,4028,4105,4297
"Westmoreland town, Tennessee",1600000US4779420,0,0,0,0,0,0,0,0,0,0,0,298,357,0,0,0,865,1423,1754,1726,2093,2206,2718
"White Bluff town, Tennessee",1600000US4779980,0,0,0,0,0,0,0,0,0,0,0,419,449,464,522,506,486,516,2055,1988,2142,3206,3862
"White House city, Tennessee",1600000US4780200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225,2987,7220,10255,12982
"Williamson County, Tennessee",0500000US47187,2868,13153,20640,26638,27006,27201,23827,25328,28313,26321,26429,24213,23409,22845,25220,24307,25267,34330,58108,81021,126638,183182,247726
"Wilson County, Tennessee",0500000US47189,3261,11952,18730,25472,24460,27443,26072,25881,28747,27148,27078,25394,26241,23929,25267,26318,27668,36999,56064,67675,88809,113993,147737
MPO,,24990,82399,130366,167872,170687,191030,194665,223561,255217,278598,303669,323827,339256,392743,443480,514004,610297,707342,849947,977637,1221741,1494344,1822891
GNRC Region,,27889,100709,160239,202641,208470,236620,251792,285671,339124,365938,409535,428860,441256,487642,544987,617205,723279,837118,1022572,1178548,1481223,1803604,2190892
GNRC,,27889,90350,138098,174976,180284,207100,219294,249382,299220,327826,366832,388404,405853,453626,504630,576837,681580,793742,971477,1123736,1411725,1722648,2089918
Rutherford Incorporated,,0,0,0,0,0,0,0,0,0,0,3999,4679,5830,8524,9988,14974,22966,32495,47623,66530,113536,181921,245371
Rutherford Unincorporated,,0,10265,19552,26134,24280,29122,27918,33289,36741,35097,29544,28520,27229,23762,23616,25722,29402,26933,36435,52040,68487,80683,96115
Wilson Incorporated,,0,0,0,0,0,0,0,0,0,0,1956,4086,5017,5584,6858,8846,11431,13553,16051,21847,33959,51338,79273
Wilson Unincorporated,,3261,11952,18730,25472,24460,27443,26072,25881,28747,27148,25122,21308,21224,18345,18409,17472,16237,23446,40013,45828,54850,62655,68464
Cheatham Incorporated,,0,0,0,0,0,0,0,0,0,0,0,641,649,712,957,1024,1400,2339,4427,5452,11494,13539,14896
Cheatham Unincorporated,,0,0,0,0,0,0,7258,6678,7956,8845,10112,9899,9390,8313,8971,8143,8028,10860,17189,21688,24418,25566,26176
Dickson Incorporated,,0,0,0,0,0,0,0,0,0,0,1363,2505,3250,4062,4866,4665,6786,7463,11130,13240,17400,21020,23693
Dickson Unincorporated,,0,4516,5190,7265,7074,8404,9982,9340,12460,13645,17272,17450,16092,14429,14852,14140,12053,14514,18907,21821,25756,28646,30622
Humphreys Incorporated,,0,0,0,0,0,0,0,0,0,0,786,1608,1689,1772,1935,2602,4429,4764,7581,7010,7635,7806,7744
Humphreys Unincorporated,,0,1511,4067,6187,5195,6422,9096,9326,11379,11720,12612,12300,11793,10267,10486,8428,7082,8796,8376,8785,10294,10732,11246
Montgomery Incorporated,,0,0,0,0,0,0,0,0,0,0,9431,8548,8110,9242,11831,16246,22021,31719,54777,75494,103455,132929,166722
Montgomery Unincorporated,,2899,8021,12219,14349,16927,21045,20895,24747,28481,29697,26586,25124,24155,21640,21515,27940,33624,31002,28565,25004,31313,39402,53347
