NAME,GEO_ID,pop,raceeth_total_series,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,gq_total_series,gq_institutionalized,gq_institutionalized_correctionalfacilityadults,gq_institutionalized_juvenilefacility,gq_institutionalized_nursingorskillednursingfacility,gq_institutionalized_other,gq_noninstitutionalized,gq_noninstitutionalized_collegeoruniversitystudenthousing,gq_noninstitutionalized_militaryquarters,gq_noninstitutionalized_other,StateFIPS,GeoFIPS
"Fairview city, Tennessee",1600000US4725440,9357.0,9357.0,8288.0,157.0,34.0,88.0,3.0,176.0,611.0,8120.0,531.0,3554.0,3554.0,3359.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,25440.0
"Forest Hills city, Tennessee",1600000US4727020,5038.0,5038.0,4677.0,44.0,4.0,110.0,0.0,19.0,184.0,4638.0,127.0,1894.0,1894.0,1789.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,27020.0
"Franklin city, Tennessee",1600000US4727740,83454.0,83454.0,63771.0,4370.0,216.0,6438.0,49.0,2971.0,5639.0,62607.0,6688.0,34720.0,34720.0,32749.0,1971.0,1084.0,1041.0,189.0,7.0,845.0,0.0,43.0,0.0,0.0,43.0,47.0,27740.0
"Gallatin city, Tennessee",1600000US4728540,44431.0,44431.0,31359.0,6583.0,212.0,753.0,30.0,1985.0,3509.0,30537.0,4406.0,19201.0,19201.0,17791.0,1410.0,795.0,781.0,572.0,25.0,184.0,0.0,14.0,0.0,0.0,14.0,47.0,28540.0
"Goodlettsville city, Tennessee",1600000US4729920,17789.0,17789.0,10910.0,4113.0,94.0,512.0,42.0,712.0,1406.0,10648.0,1650.0,7784.0,7784.0,7348.0,436.0,152.0,148.0,0.0,0.0,148.0,0.0,4.0,0.0,0.0,4.0,47.0,29920.0
"Greenbrier town, Tennessee",1600000US4730960,6898.0,6898.0,6076.0,199.0,19.0,95.0,1.0,110.0,398.0,5996.0,300.0,2624.0,2624.0,2546.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,30960.0
"Hendersonville city, Tennessee",1600000US4733280,61753.0,61753.0,48657.0,5367.0,210.0,1312.0,54.0,1558.0,4595.0,47783.0,3968.0,24963.0,24963.0,23697.0,1266.0,472.0,317.0,0.0,0.0,317.0,0.0,155.0,0.0,0.0,155.0,47.0,33280.0
"Kingston Springs town, Tennessee",1600000US4739660,2824.0,2824.0,2577.0,27.0,10.0,9.0,0.0,56.0,145.0,2514.0,163.0,1148.0,1148.0,1085.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,39660.0
"Lafayette city, Tennessee",1600000US4740160,5584.0,5584.0,4749.0,52.0,23.0,17.0,3.0,385.0,355.0,4641.0,665.0,2516.0,2516.0,2317.0,199.0,188.0,188.0,182.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,47.0,40160.0
"La Vergne city, Tennessee",1600000US4741200,38719.0,38719.0,17766.0,9816.0,335.0,1440.0,40.0,5374.0,3948.0,16338.0,9427.0,12890.0,12890.0,12472.0,418.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,61.0,47.0,41200.0
"Lebanon city, Tennessee",1600000US4741520,38431.0,38431.0,28960.0,4377.0,230.0,576.0,13.0,1642.0,2633.0,28254.0,3319.0,15734.0,15734.0,14708.0,1026.0,1590.0,873.0,381.0,11.0,481.0,0.0,717.0,477.0,0.0,240.0,47.0,41520.0
"McEwen city, Tennessee",1600000US4744840,1643.0,1643.0,1532.0,9.0,4.0,6.0,0.0,5.0,87.0,1516.0,33.0,807.0,807.0,709.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,44840.0
"Millersville city, Tennessee",1600000US4748980,6299.0,6299.0,4868.0,544.0,23.0,55.0,9.0,337.0,463.0,4612.0,755.0,2580.0,2580.0,2451.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,48980.0
"Mitchellville city, Tennessee",1600000US4749460,163.0,163.0,146.0,3.0,0.0,0.0,0.0,4.0,10.0,146.0,6.0,74.0,74.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,49460.0
