NAME,GEO_ID,Population 1800,Population 1810,Population 1820,Population 1830,Population 1840,Population 1850,Population 1860,Population 1870,Population 1880,Population 1890,Population 1900,Population 1910,Population 1920,Population 1930,Population 1940,Population 1950,Population 1960,Population 1970,Population 1980,Population 1990,Population 2000,Population 2010,Population 2020,Projected Population 2017,Projected Population 2020,Projected Population 2025,Projected Population 2035,Projected Population 2045,Projected Employment 2017,Projected Employment 2020,Projected Employment 2025,Projected Employment 2035,Projected Employment 2045,Projected Households 2017,Projected Households 2020,Projected Households 2025,Projected Households 2035,Projected Households 2045
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,11.0,27.0
"Lebanon city, Tennessee",1600000US4741520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,3569.0,4084.0,4656.0,5950.0,7913.0,10512.0,12492.0,11872.0,15208.0,20235.0,26190.0,38431.0,30343.0,34668.0,39220.0,45861.0,51373.0,40028.0,43153.0,48343.0,60202.0,73563.0,11783.0,13538.0,15449.0,18202.0,20476.0
"Maury County, Tennessee",0500000US47119,0.0,10359.0,22141.0,27665.0,28186.0,29520.0,32498.0,36289.0,39904.0,38112.0,42703.0,40456.0,35403.0,34016.0,40357.0,40368.0,41699.0,43376.0,51095.0,54812.0,69498.0,80956.0,100974.0,85619.0,90290.0,96720.0,106883.0,117152.0,49375.0,51383.0,54926.0,61867.0,68147.0,33332.0,35142.0,37634.0,41564.0,45587.0
"McEwen city, Tennessee",1600000US4744840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,635.0,620.0,617.0,710.0,979.0,0.0,1352.0,1442.0,1702.0,1750.0,1643.0,1869.0,1909.0,1963.0,2039.0,2085.0,620.0,647.0,696.0,779.0,841.0,741.0,758.0,782.0,811.0,825.0
"Millersville city, Tennessee",1600000US4748980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.0,5308.0,6440.0,6299.0,6893.0,7245.0,7754.0,8557.0,9175.0,1563.0,1721.0,2001.0,2477.0,2925.0,2738.0,2876.0,3086.0,3398.0,3651.0
"Mitchellville city, Tennessee",1600000US4749460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,203.0,216.0,202.0,184.0,177.0,209.0,193.0,207.0,189.0,163.0,163.0,173.0,192.0,241.0,289.0,53.0,62.0,78.0,102.0,125.0,60.0,66.0,74.0,93.0,111.0
"Montgomery County, Tennessee",0500000US47125,2899.0,8021.0,12219.0,14349.0,16927.0,21045.0,20895.0,24747.0,28481.0,29697.0,36017.0,33672.0,32265.0,30882.0,33346.0,44186.0,55645.0,62721.0,83342.0,100498.0,134768.0,172331.0,220069.0,184262.0,202153.0,230537.0,286283.0,349609.0,75683.0,80329.0,88583.0,106240.0,125716.0,68904.0,75690.0,86383.0,107198.0,130932.0
