NAME,GEO_ID,Year,Time Frame,Population,Population % Change,Population Change,Population Projected,Population Projected % Change,Population Projected Change,Employment Projected,Employment Projected % Change,Employment Projected Change,Households Projected,Households Projected % Change,Households Projected Change
"Belle Meade city, Tennessee",1600000US4704620,1990,None,2839.0,,,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1800-1810,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1810-1820,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1820-1830,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1830-1840,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1840-1850,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1850-1860,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1860-1870,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1870-1880,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1880-1890,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1890-1900,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1900-1910,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1910-1920,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1920-1930,,,0.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1930-1940,,inf,2061.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1940-1950,,37.36050460941291,770.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1950-1960,,8.866125044154009,251.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1960-1970,,-100.0,-3082.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1970-1980,,inf,3182.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1980-1990,,-10.779384035197989,-343.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,1990-2000,,3.6632617118703767,104.0,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,2000-2010,,-1.053346924906558,,,,,,,,,,
"Belle Meade city, Tennessee",1600000US4704620,None,2010-2020,,-0.37774725274725274,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1800,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1810,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1820,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1830,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1840,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1850,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1860,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1870,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1880,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1890,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1900,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1910,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1920,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1930,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1940,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1950,None,1248.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1960,None,1551.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1970,None,0.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1980,None,1113.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,1990,None,802.0,,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1800-1810,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1810-1820,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1820-1830,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1830-1840,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1840-1850,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1850-1860,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1860-1870,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1870-1880,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1880-1890,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1890-1900,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1900-1910,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1910-1920,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1920-1930,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1930-1940,,,0.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1940-1950,,inf,1248.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1950-1960,,24.278846153846153,303.0,,,,,,,,,
