PL_CO,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other,Square Miles,Square Acres,Population Per Square Mile,Housing Units Per Square Mile,Population Per Square Acre,Housing Units Per Square Acre,PLACE,COUNTY
"Greenbrier town,Robertson ",6898,6076,88.08350246448245,822,199,2.884894172223833,24.20924574209246,19,0.27544215714699916,2.3114355231143553,95,1.3772107857349958,11.557177615571776,1,0.014496955639315743,0.12165450121654502,110,1.5946651203247317,13.381995133819952,398,5.769788344447666,48.41849148418492,300,4.349086691794723,6598,95.65091330820528,902,13.0762539866628,5996,86.9237460133372,2624,2546,97.02743902439023,78,2.972560975609756,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,7.2682044080604635,4651.643640115,949.0652178618002,361.02451894307967,1.4829166921801138,0.5641016816875353,Greenbrier town,Robertson 
"Greenvale CDP,Wilson",79,71,89.87341772151899,8,0,0.0,0.0,1,1.2658227848101267,12.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,8.860759493670885,87.5,0,0.0,79,100.0,8,10.126582278481013,71,89.87341772151899,35,33,94.28571428571428,2,5.714285714285714,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,2.4246694319025957,1551.786040825,32.58176102711457,14.434957417076072,0.050909080196390996,0.0225546557832112,Greenvale CDP,Wilson
"Hartsville/Trousdale County,Trousdale",11615,8883,76.47869134739561,2732,1922,16.547567800258285,70.35139092240117,30,0.2582866982350409,1.0980966325036603,27,0.23245802841153682,0.9882869692532943,0,0.0,0.0,205,1.7649591046061126,7.503660322108345,548,4.718037021093414,20.05856515373353,375,3.2285837279380116,11240,96.771416272062,2829,24.356435643564357,8786,75.64356435643565,3749,3469,92.53134169111763,280,7.468658308882368,2569,22.117950925527335,2549,99.22148695990658,2505,98.2738328756375,97.50875827170104,0,0.0,0.0,44,1.726167124362495,1.7127286882055275,0,0.0,0.0,20,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,114.34167779533756,73178.56081853001,101.58150749536769,32.78769449850482,0.15872135048956704,0.051230851742177085,Hartsville/Trousdale County,Trousdale
"Hendersonville city,Sumner",61753,48657,78.79293313685164,13096,5367,8.691075737211147,40.98197923029932,210,0.3400644503101064,1.6035430665852168,1312,2.124593137175522,10.01832620647526,54,0.08744514436545593,0.4123396456933414,1558,2.522954350395932,11.89676237018937,4595,7.440934043690185,35.08704948075748,3968,6.425598756335725,57785,93.57440124366427,13970,22.622382718248506,47783,77.3776172817515,24963,23697,94.92849417137363,1266,5.071505828626368,472,0.7643353359350963,317,67.16101694915254,0,0.0,0.0,0,0.0,0.0,317,100.0,67.16101694915254,0,0.0,0.0,155,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31.41772106090313,20107.310438020002,1965.5467651613576,794.5515828983688,3.071171561723842,1.2414887648423927,Hendersonville city,Sumner
"Kingston Springs town,Cheatham",2824,2577,91.25354107648725,247,27,0.9560906515580737,10.931174089068826,10,0.3541076487252125,4.048582995951417,9,0.3186968838526912,3.643724696356275,0,0.0,0.0,56,1.9830028328611897,22.672064777327936,145,5.13456090651558,58.70445344129555,163,5.771954674220963,2661,94.22804532577904,310,10.977337110481585,2514,89.02266288951841,1148,1085,94.51219512195121,63,5.487804878048781,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,10.053323371098998,6434.1170247400005,280.9021351206461,114.19109458870457,0.43891026369917735,0.1784238607389007,Kingston Springs town,Cheatham
"La Vergne city,Rutherford",38719,17766,45.884449495079934,20953,9816,25.351894418760818,46.84770677229991,335,0.8652082956687931,1.598816398606405,1440,3.719104315710633,6.872524220875293,40,0.10330845321418426,0.19090345057986924,5374,13.879490689325655,25.647878585405433,3948,10.196544332239986,18.842170572233094,9427,24.347219711252873,29292,75.65278028874712,22381,57.803662284666444,16338,42.19633771533356,12890,12472,96.75717610550815,418,3.2428238944918544,61,0.157545391151631,0,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,61,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24.71474781903467,15817.414185815001,1566.6354471227746,521.5509417446877,2.4478716650616037,0.8149246045260485,La Vergne city,Rutherford
"Lebanon city,Wilson",38431,28960,75.35583253102965,9471,4377,11.389243058988837,46.21476084890719,230,0.5984751893003045,2.4284658430999895,576,1.4987900392911973,6.081723154893886,13,0.033826858525669384,0.13726111287086898,1642,4.272592438396086,17.33713441030514,2633,6.851239884468267,27.80065462992292,3319,8.636257188207438,35112,91.36374281179256,10177,26.481226093518252,28254,73.51877390648175,15734,14708,93.47908986907333,1026,6.520910130926656,1590,4.137285004293409,873,54.90566037735849,381,43.6426116838488,23.962264150943398,11,1.2600229095074456,0.6918238993710693,481,55.09736540664376,30.251572327044023,0,0.0,0.0,717,0.0,477,66.52719665271967,30.0,0,0.0,0.0,0,0.0,0.0,39.65388242214197,25378.44557182,969.1610922450525,396.78334223370865,1.5143165443778575,0.6199749293341628,Lebanon city,Wilson
"McEwen city,Humphreys",1643,1532,93.24406573341449,111,9,0.5477784540474742,8.108108108108109,4,0.24345709068776628,3.6036036036036037,6,0.36518563603164944,5.405405405405405,0,0.0,0.0,5,0.30432136335970783,4.504504504504505,87,5.295191722458917,78.37837837837837,33,2.008520998174072,1610,97.99147900182594,127,7.72976262933658,1516,92.27023737066342,807,709,87.85625774473358,98,12.143742255266417,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,1.8427474554986336,1179.35655087,891.603456077174,437.9330426380276,1.3931325507862524,0.6842714354744405,McEwen city,Humphreys
"Millersville city,Robertson ",1348,1150,85.31157270029674,198,65,4.821958456973293,32.82828282828283,0,0.0,0.0,8,0.5934718100890208,4.040404040404041,1,0.0741839762611276,0.5050505050505051,30,2.225519287833828,15.151515151515152,94,6.973293768545995,47.474747474747474,85,6.3056379821958455,1263,93.69436201780415,220,16.320474777448073,1128,83.67952522255193,554,535,96.57039711191335,19,3.429602888086643,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,2.2931097546025856,1467.587977335,587.8480074032127,241.59332054998504,0.9185139295348,0.3774901461144505,Millersville city,Robertson 
"Millersville city,Sumner",4951,3718,75.09594021409816,1233,479,9.674813169056756,38.84833738848337,23,0.4645526156332054,1.8653690186536902,47,0.9493031710765503,3.8118410381184105,8,0.1615835184811149,0.6488240064882401,307,6.200767521712786,24.898621248986213,369,7.4530397899414265,29.927007299270077,670,13.532619672793375,4281,86.46738032720663,1467,29.630377701474448,3484,70.36962229852554,2026,1916,94.5705824284304,110,5.429417571569595,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,11.54537539429314,7389.028845425,428.82971154383347,175.48151799390155,0.6700474586813214,0.2741902951501428,Millersville city,Sumner
