NAME,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other,Square Miles,Square Acres,Population Per Square Mile,Population Per Square Acre,Housing Units Per Square Mile,Housing Units Per Square Acre
"Dickson County, Tennessee",54315.0,47609.0,87.65350271564024,6706.0,1962.0,3.612261806130903,29.257381449448257,242.0,0.4455491116634447,3.608708619147032,312.0,0.5744269538801436,4.652549955263942,11.0,0.0202522323483384,0.1640322099612287,1175.0,2.163306637208874,17.521622427676707,3004.0,5.53070054312805,44.79570533850284,2582.0,4.753751265764522,51733.0,95.24624873423548,7321.0,13.478781183835038,46994.0,86.52121881616497,22551.0,21154.0,93.80515276484414,1397.0,6.194847235155869,777.0,1.4305440486053578,582.0,74.9034749034749,294.0,50.51546391752577,37.83783783783784,0.0,0.0,0.0,105.0,18.04123711340206,13.513513513513514,183.0,31.443298969072163,23.552123552123557,195.0,23.552123552123557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.89824044413047,313534.38986089,110.86996342497427,0.17323458528456373,46.03200856479048,0.07192512441778877
"Houston County, Tennessee",8283.0,7557.0,91.23505976095618,726.0,210.0,2.535313292285404,28.92561983471074,47.0,0.5674272606543523,6.473829201101928,16.0,0.1931667270312688,2.203856749311295,8.0,0.0965833635156344,1.1019283746556474,90.0,1.0865628395508875,12.396694214876034,355.0,4.285886756006278,48.89807162534435,202.0,2.438729928769769,8081.0,97.56127007123024,792.0,9.56175298804781,7491.0,90.4382470119522,3936.0,3311.0,84.1209349593496,625.0,15.879065040650406,176.0,2.1248339973439574,168.0,95.45454545454544,33.0,19.642857142857142,18.75,0.0,0.0,0.0,135.0,80.35714285714286,76.70454545454545,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.2936580827975,128187.743281265,41.354279907234854,0.0646161621070568,19.651146410102182,0.030704963666953466
"Humphreys County, Tennessee",18990.0,17270.0,90.94260136914166,1720.0,506.0,2.6645602948920484,29.418604651162788,43.0,0.2264349657714586,2.5,65.0,0.3422854133754607,3.77906976744186,0.0,0.0,0.0,177.0,0.9320695102685624,10.290697674418604,929.0,4.892048446550816,54.01162790697674,449.0,2.364402317008952,18541.0,97.63559768299103,1888.0,9.942074776197998,17102.0,90.057925223802,8849.0,7599.0,85.87411006893434,1250.0,14.125889931065656,441.0,2.322274881516588,404.0,91.60997732426304,78.0,19.306930693069308,17.687074829931973,243.0,60.148514851485146,55.10204081632652,83.0,20.544554455445542,18.820861678004537,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.7625627858806,339687.51578533504,35.778710352751304,0.05590432122916374,16.672238436624344,0.026050412772873618
"Maury County, Tennessee",100974.0,77837.0,77.08618060094678,23137.0,11349.0,11.239527006952285,49.05130310757661,417.0,0.4129775981935943,1.80230799152872,952.0,0.9428169627824984,4.114621601763409,49.0,0.0485273436726286,0.2117819942084107,3401.0,3.3681937924614256,14.69939923066949,6969.0,6.901776694990789,30.12058607425336,7660.0,7.586111276170103,93314.0,92.4138887238299,24792.0,24.552855190445065,76182.0,75.44714480955493,43143.0,39987.0,92.68479243446214,3156.0,7.315207565537863,1272.0,1.2597302275833384,1078.0,84.74842767295597,298.0,27.643784786641927,23.42767295597484,87.0,8.070500927643785,6.839622641509433,612.0,56.77179962894249,48.11320754716981,81.0,7.5139146567718,6.367924528301887,194.0,6.367924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.1387393994852,392408.187429725,164.6837714069332,0.2573187900624094,70.36417245834888,0.10994418919387691
GNRC,2089918.0,1436118.0,68.7164759574299,653800.0,318204.0,15.225669141085918,48.669929642092384,9631.0,0.4608314775986427,1.4730804527378405,65772.0,3.147109121027715,10.059957173447536,1956.0,0.0935921887844403,0.2991740593453655,104408.0,4.995794093356773,15.96940960538391,153829.0,7.360528020716603,23.52844906699297,207537.0,9.930389613372393,1882381.0,90.0696103866276,692087.0,33.11550979512115,1397831.0,66.88449020487886,864517.0,805566.0,93.18104791461592,58951.0,6.818952085384093,45429.0,2.173721648409172,19377.0,42.653371194611374,11012.0,56.8302626825618,24.240022892865788,544.0,2.807452133973267,1.197472979814656,7360.0,37.98317593022656,16.201105021021814,461.0,2.3791092532383757,1.014770300909111,26052.0,1.014770300909111,19870.0,76.27053585137418,43.7385810825684,1321.0,5.070627974819591,2.907834202821986,1321.0,5.070627974819591,2.907834202821986,5919.234576451814,3788304.280678375,353.0723395072419,0.5516763821373283,146.05216077079686,0.2282068535015329
GNRC Region,2190892.0,1513955.0,69.10221955258406,676937.0,329553.0,15.04195551400982,48.68296458902379,10048.0,0.4586259843022842,1.4843331063304266,66724.0,3.0455175334977715,9.85675180999118,2005.0,0.0915152367163694,0.2961870897882668,107809.0,4.920781124765621,15.926001976550255,160798.0,7.339385054124074,23.75376142831608,215197.0,9.822346331996282,1975695.0,90.17765366800371,716879.0,32.72087350722902,1474013.0,67.27912649277098,907660.0,845553.0,93.15745984179098,62107.0,6.842540158209021,46701.0,2.131597541092852,20455.0,43.79991863129269,11310.0,55.29210461989733,24.21789683304426,631.0,3.084820337325837,1.3511487976702854,7972.0,38.97335614764116,17.070298280550738,542.0,2.649718895135664,1.1605747200274084,26246.0,1.1605747200274084,19870.0,75.70677436561762,42.54726879510075,1321.0,5.033147908252686,2.828633219845399,1321.0,5.033147908252686,2.828633219845399,6532.3733158513,4180712.468108101,335.3898949228199,0.5240475198217698,138.94796823652044,0.21710653553047232
MPO,1822891.0,1245610.0,68.33156782276066,577281.0,279393.0,15.326917517284356,48.39809382259247,8319.0,0.4563629970195694,1.4410659626767557,60834.0,3.337226416719376,10.538022211020284,958.0,0.0525538828158129,0.1659503777189964,97370.0,5.341515208534136,16.867002378391113,130407.0,7.153856154866089,22.58986524760039,186480.0,10.229904037048842,1636411.0,89.77009596295116,609165.0,33.41752194728045,1213726.0,66.58247805271955,759407.0,709003.0,93.36271590859712,50404.0,6.637284091402897,37440.0,2.053880347206717,14535.0,38.82211538461539,7069.0,48.6343309253526,18.880876068376068,356.0,2.4492604059167524,0.9508547008547008,6751.0,46.44650842793258,18.031517094017094,359.0,2.469900240798074,0.9588675213675214,22905.0,0.9588675213675214,18420.0,80.41912246234446,49.19871794871795,0.0,0.0,0.0,0.0,0.0,0.0,3895.628567919748,2493198.4345566654,467.93244484635693,0.731145573787488,194.93824597490325,0.3045914795526638
Rutherford Unincorporated,96115.0,78678.0,81.85819070904645,17437.0,5681.0,5.910627893669043,32.58014566725927,360.0,0.374551318732768,2.0645753283248265,2186.0,2.274358840971753,12.536560188105751,49.0,0.0509805961608489,0.2810116419108792,2832.0,2.9464703740311085,16.241325916155304,6329.0,6.584820267388025,36.29638125824396,5945.0,6.185298860739739,90170.0,93.81470113926026,18657.0,19.4111220933257,77458.0,80.5888779066743,34682.0,33368.0,96.21129115967936,1314.0,3.788708840320628,207.0,0.2153670082713416,193.0,93.23671497584542,0.0,0.0,0.0,0.0,0.0,0.0,193.0,100.0,93.23671497584542,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.8221464030307,317325.68382172,193.84975176536912,0.30289070472467444,69.94846892500163,0.10929465142028985
Wilson Unincorporated,68464.0,60239.0,87.98638700630988,8225.0,2517.0,3.6763846693152606,30.601823708206688,225.0,0.328639869128301,2.735562310030395,510.0,0.7449170366908157,6.2006079027355625,19.0,0.0277518111708343,0.2310030395136778,1176.0,1.7176910493105866,14.297872340425531,3778.0,5.518228558074316,45.93313069908815,2592.0,3.7859312923580273,65872.0,96.21406870764196,8823.0,12.88706473475111,59641.0,87.1129352652489,26704.0,25332.0,94.86219292989814,1372.0,5.137807070101857,52.0,0.0759523253096517,6.0,11.538461538461538,0.0,0.0,0.0,6.0,100.0,11.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.7163401286776,323017.9590186,135.64847134242788,0.21195106367462904,52.90892700876656,0.08267032607453981
Cheatham Unincorporated,26176.0,23732.0,90.66320293398532,2444.0,322.0,1.2301344743276283,13.175122749590834,92.0,0.3514669926650366,3.764320785597381,94.0,0.3591075794621027,3.8461538461538463,11.0,0.042023227383863,0.4500818330605565,416.0,1.5892420537897312,17.02127659574468,1509.0,5.764822738386308,61.743044189852704,984.0,3.759168704156479,25192.0,96.24083129584352,2680.0,10.23838630806846,23496.0,89.76161369193154,10550.0,9854.0,93.40284360189574,696.0,6.597156398104266,114.0,0.4355134474327628,78.0,68.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,68.42105263157895,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0127251955766,167687.885254515,99.90354468646973,0.1560995295531954,40.26521991298348,0.06291450323908204
