NAME,GEO_ID,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other
"Columbia city, Tennessee",1600000US4716540,41690.0,27737.0,66.53154233629166,13953.0,7723.0,18.524826097385464,55.35010392030387,223.0,0.534900455744783,1.5982226044578225,432.0,1.0362197169585032,3.0961083637927325,21.0,0.0503717917965939,0.15050526768436895,2288.0,5.488126649076517,16.397907260087436,3266.0,7.834012952746463,23.407152583673764,4447.0,10.666826577116813,37243.0,89.33317342288318,14728.0,35.32741664667786,26962.0,64.67258335332214,18335.0,16821.0,91.74256885737661,1514.0,8.257431142623398,1059.0,2.5401775005996643,872.0,82.34183191690275,298.0,34.174311926605505,28.13975448536355,49.0,5.6192660550458715,4.627006610009444,444.0,50.917431192660544,41.92634560906516,81.0,9.288990825688073,7.64872521246459,187.0,7.64872521246459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coopertown town, Tennessee",1600000US4716980,4480.0,3937.0,87.87946428571428,543.0,143.0,3.1919642857142856,26.335174953959484,19.0,0.42410714285714285,3.4990791896869244,25.0,0.5580357142857143,4.6040515653775325,5.0,0.11160714285714285,0.9208103130755065,85.0,1.8973214285714284,15.65377532228361,266.0,5.9375,48.98710865561694,212.0,4.732142857142857,4268.0,95.26785714285714,611.0,13.638392857142856,3869.0,86.36160714285714,1665.0,1613.0,96.87687687687688,52.0,3.123123123123123,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,
"Cross Plains city, Tennessee",1600000US4718420,1789.0,1546.0,86.4169927333706,243.0,83.0,4.639463387367244,34.15637860082305,1.0,0.05589714924538849,0.411522633744856,6.0,0.3353828954723309,2.4691358024691357,0.0,0.0,0.0,28.0,1.5651201788708775,11.522633744855968,125.0,6.987143655673561,51.440329218106996,69.0,3.8569032979318054,1720.0,96.14309670206819,253.0,14.141978759083287,1536.0,85.85802124091671,701.0,659.0,94.00855920114122,42.0,5.991440798858773,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,
"Cumberland City town, Tennessee",1600000US4718820,305.0,269.0,88.19672131147541,36.0,10.0,3.278688524590164,27.77777777777778,0.0,0.0,0.0,1.0,0.32786885245901637,2.7777777777777777,0.0,0.0,0.0,3.0,0.9836065573770493,8.333333333333332,22.0,7.213114754098362,61.111111111111114,4.0,1.3114754098360655,301.0,98.68852459016394,36.0,11.80327868852459,269.0,88.19672131147541,164.0,130.0,79.26829268292683,34.0,20.73170731707317,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,
"Dickson city, Tennessee",1600000US4720620,16058.0,12709.0,79.14435172499688,3349.0,1240.0,7.722007722007722,37.025977903851896,102.0,0.6351974093909578,3.0456852791878175,170.0,1.0586623489849296,5.0761421319796955,1.0,0.0062274255822642914,0.029859659599880562,588.0,3.661726242371403,17.55747984472977,1248.0,7.771827126665837,37.26485518065094,1277.0,7.952422468551501,14781.0,92.0475775314485,3594.0,22.381367542657866,12464.0,77.61863245734213,6936.0,6597.0,95.11245674740483,339.0,4.887543252595155,414.0,2.578154191057417,288.0,69.56521739130434,0.0,0.0,0.0,0.0,0.0,0.0,105.0,36.45833333333333,25.36231884057971,183.0,63.541666666666664,44.20289855072464,126.0,44.20289855072464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dover city, Tennessee",1600000US4721400,1826.0,1667.0,91.29244249726177,159.0,57.0,3.12157721796276,35.84905660377358,4.0,0.21905805038335158,2.515723270440252,9.0,0.49288061336254113,5.660377358490567,0.0,0.0,0.0,29.0,1.5881708652792992,18.238993710691823,60.0,3.285870755750274,37.735849056603776,57.0,3.12157721796276,1769.0,96.87842278203725,178.0,9.748083242059145,1648.0,90.25191675794085,746.0,667.0,89.41018766756032,79.0,10.589812332439678,235.0,12.869660460021906,235.0,100.0,167.0,71.06382978723404,71.06382978723404,0.0,0.0,0.0,68.0,28.936170212765955,28.936170212765955,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
"Eagleville city, Tennessee",1600000US4722360,813.0,743.0,91.38991389913899,70.0,17.0,2.091020910209102,24.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.4760147601476015,17.142857142857142,41.0,5.043050430504305,58.57142857142858,39.0,4.797047970479705,774.0,95.20295202952029,84.0,10.33210332103321,729.0,89.66789667896678,326.0,301.0,92.33128834355828,25.0,7.668711656441718,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,
"Erin city, Tennessee",1600000US4724320,1224.0,1063.0,86.84640522875817,161.0,86.0,7.026143790849673,53.41614906832298,4.0,0.32679738562091504,2.484472049689441,3.0,0.24509803921568626,1.8633540372670807,5.0,0.40849673202614384,3.1055900621118013,13.0,1.0620915032679739,8.074534161490684,50.0,4.084967320261438,31.05590062111801,31.0,2.5326797385620914,1193.0,97.4673202614379,170.0,13.88888888888889,1054.0,86.11111111111111,534.0,475.0,88.95131086142321,59.0,11.04868913857678,135.0,11.029411764705882,135.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
"Fairview city, Tennessee",1600000US4725440,9357.0,8288.0,88.57539809768087,1069.0,157.0,1.6778882120337715,14.686623012160899,34.0,0.3633643261729187,3.1805425631431246,88.0,0.9404723736240248,8.23199251637044,3.0,0.032061558191728116,0.2806361085126286,176.0,1.8809447472480496,16.46398503274088,611.0,6.5298706850486266,57.15622076707203,531.0,5.674895799935877,8826.0,94.32510420006412,1237.0,13.220049161055893,8120.0,86.7799508389441,3554.0,3359.0,94.51322453573438,195.0,5.486775464265616,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,
"Forest Hills city, Tennessee",1600000US4727020,5038.0,4677.0,92.83445811830092,361.0,44.0,0.8733624454148471,12.18836565096953,4.0,0.07939658594680428,1.10803324099723,110.0,2.1834061135371177,30.47091412742382,0.0,0.0,0.0,19.0,0.3771337832473204,5.263157894736842,184.0,3.6522429535529968,50.96952908587258,127.0,2.520841603811036,4911.0,97.47915839618896,400.0,7.939658594680429,4638.0,92.06034140531956,1894.0,1789.0,94.45617740232312,105.0,5.543822597676875,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,
